"X","NDX","ATVI","ADBE","AMD","ALXN","ALGN","GOOGL","GOOG","AMZN","AMGN","ADI","ANSS","AAPL","AMAT","ASML","ADSK","ADP","BIDU","BIIB","BMRN","BKNG","AVGO","CDNS","CDW","CERN","CHTR","CHKP","CTAS","CSCO","CTXS","CTSH","CMCSA","CPRT","COST","CSX","DXCM","DOCU","DLTR","EBAY","EA","EXC","EXPE","FB","FAST","FISV","GILD","IDXX","ILMN","INCY","INTC","INTU","ISRG","JD","KLAC","KHC","LRCX","LBTYA","LBTYK","LULU","MAR","MXIM","MELI","MCHP","MU","MSFT","MRNA","MDLZ","MNST","NTES","NFLX","NVDA","NXPI","ORLY","PCAR","PAYX","PYPL","PEP","PDD","QCOM","REGN","ROST","SGEN","SIRI","SWKS","SPLK","SBUX","SNPS","TMUS","TTWO","TSLA","TXN","TCOM","ULTA","VRSN","VRSK","VRTX","WBA","WDAY","WDC","XEL","XLNX"
"2020-01-02",8872.219727,58.266792,334.429993,49.099998,107.839996,283.679993,1368.680054,1367.369995,1898.01001,235.229111,118.519348,259.589996,74.573036,61.554165,301.304321,187.830002,167.169968,138.220001,294.23999,84.040001,2074.580078,310.934326,71.440002,142.48378,73.027405,490.429993,112.260002,270.790009,47.155396,110.761368,61.26659,44.375149,93.480003,289.59079,72.431641,219.380005,75.900002,93.779999,35.897388,107.339996,44.159397,110.569191,209.779999,36.513546,115.519997,63.393715,265.019989,327,85.970001,59.795685,264.61795,597.26001,37.73,180.0242,30.327517,293.804932,22.48,21.6,233.419998,150.884995,60.980679,610.190002,106.429192,55.389999,159.352386,19.23,53.402622,63.700001,65.165466,329.809998,239.585526,127.163986,437.519989,78.524055,82.946808,110.75,132.91423,41.23,86.849091,373.350006,116.471321,112.410004,7.085161,120.30822,151.979996,87.95726,142.869995,78.589996,122.080002,86.052002,126.770592,36.970001,254.550003,196.729996,150.37677,219.449997,57.253372,167.460007,64.771545,61.184597,100.399811
"2020-01-03",8793.900391,58.286655,331.809998,48.599998,106.410004,280.440002,1361.52002,1360.660034,1874.969971,233.632172,116.432976,256.970001,73.84803,60.574444,296.448944,184.949997,166.81662,133.800003,290.850006,84,2065.47998,303.025696,70.419998,140.770569,73.23571,494.470001,112.290001,269.570007,46.386028,110.910156,60.712502,44.023045,92.660004,289.829254,72.13475,218.699997,75.559998,93.029999,35.561157,107.199997,44.295483,108.726028,208.669998,35.866245,116.370003,63.238209,264.769989,322.730011,77.900002,59.068382,262.848236,593.340027,37.990002,176.58287,29.972527,290.648773,22.110001,21.25,232.639999,148.673859,59.925747,607.799988,104.094864,54.529999,157.368179,18.889999,53.314159,63.279999,64.364532,325.899994,235.750748,125.937263,438.75,77.753731,82.664177,108.760002,132.728302,40.889999,85.213745,369.160004,116.501228,112.650002,7.045413,117.322029,152.059998,87.445358,141.759995,78.169998,122.209999,88.601997,125.087746,36.18,250.169998,200.880005,151.839554,217.979996,57.253372,168.440002,63.774597,61.478848,98.088585
"2020-01-06",8848.519531,59.34967,333.709991,48.389999,106.580002,285.880005,1397.810059,1394.209961,1902.880005,235.425064,115.065033,254.589996,74.43647,59.26815,294.090851,187.119995,167.042374,135.940002,290.820007,84.589996,2047.400024,302.572388,70.849998,139.710968,73.394417,497.450012,112.800003,270.269989,46.551586,112.090469,60.10894,43.690498,93.489998,289.908691,71.758682,225.990005,75.389999,93.029999,35.383152,108.779999,44.363522,108.337479,212.600006,35.307213,116.93,63.80188,266.929993,325.529999,77.339996,58.901302,264.866486,595.76001,38,172.609055,30.039686,285.224213,22.58,21.57,235.429993,146.751572,58.841522,606.549988,102.601295,53.57,157.774948,18.129999,53.225693,63.380001,64.245583,335.829987,236.739395,125.04689,434.660004,77.467323,82.654427,110.169998,133.237152,40.09,84.71434,371.73999,117.069473,111,7.075223,115.255417,154.460007,86.756271,141.979996,78.620003,124.690002,90.307999,124.21698,35.689999,250.949997,202.740005,152.187836,224.029999,57.747601,169.490005,62.550629,61.390568,96.044044
"2020-01-07",8846.450195,59.945747,333.390015,48.25,106.849998,283.059998,1395.109985,1393.339966,1906.859985,233.210892,117.682831,256.670013,74.086395,60.980186,297.284698,187.5,165.020493,136.699997,290.089996,84.209999,2068.050049,301.530762,71.07,139.552505,72.432228,499.160004,112.029999,270.070007,46.249683,111.495354,59.683475,44.152367,93.370003,289.451691,72.243607,231.449997,75.239998,91.93,35.224926,108.389999,44.402405,109.61274,213.059998,35.238564,116.480003,63.286804,266.119995,329.690002,77.139999,57.918472,264.926147,582.799988,38.32,173.979675,29.512001,292.17749,22.280001,21.4,233.699997,144.36116,60.169949,625,109.485565,58.27,156.336395,17.780001,52.999615,63.689999,65.032646,330.75,239.605499,126.669334,428.769989,76.953773,82.196373,109.669998,131.142944,41.209999,87.123276,373.130005,118.435272,111.32,7.025538,116.352989,153.410004,86.490479,142.960007,78.919998,125.510002,93.811996,126.614044,37.330002,253.089996,203.210007,153.461548,223.789993,57.456879,172.949997,66.785164,61.263062,98.236748
"2020-01-08",8912.370117,59.488754,337.869995,47.830002,108.580002,286,1405.040039,1404.319946,1891.969971,233.387253,118.745697,257.730011,75.27816,60.940601,300.36908,189.949997,166.571274,137.830002,292.660004,84.709999,2062.899902,297.769318,72.279999,139.344559,72.848846,500.769989,111.480003,275.279999,46.278904,112.834373,60.089149,44.604401,94.010002,292.769958,72.619667,233.229996,76.269997,89.790001,35.205151,109.489998,44.723171,108.217926,215.220001,35.503368,116.800003,63.947662,271.679993,332.160004,76.529999,57.957787,271.299011,581.780029,38.299999,174.206451,29.348898,295.856354,21.360001,20.469999,237.270004,146.143997,60.15041,633.440002,108.1008,57.52,158.826569,17.98,53.127399,63.82,65.623436,339.26001,240.054901,126.985916,431.899994,77.980873,83.005272,111.82,131.818192,40.5,86.868675,382.420013,118.784195,111.199997,7.015601,118.202065,155.759995,87.494583,145.860001,79.419998,127.82,98.428001,126.956482,36.869999,258,204.149994,154.874542,231.089996,54.103855,178.710007,67.752487,61.204208,97.960182
"2020-01-09",8989.629883,58.952282,340.450012,48.970001,110.739998,296.540009,1419.790039,1419.829956,1901.050049,234.08284,118.745697,261.429993,76.877136,61.326553,299.861633,191.940002,168.043518,140.860001,294.299988,89.580002,2084.290039,295.377472,73.360001,140.592331,73.166275,507.279999,111.709999,279.350006,46.084126,113.122009,60.465141,44.722324,95.290001,297.469147,72.975937,239.270004,75.800003,91.059998,34.78981,109.360001,44.859261,109.353706,218.300003,35.52298,117.800003,63.98653,277.940002,334.600006,77.949997,58.28212,273.839142,585.789978,38.900002,173.042923,29.339304,293.84436,20.799999,19.969999,235.899994,145.865128,60.589962,646.429993,109.119591,57.310001,160.810776,18.4,53.265011,64.25,67.082573,335.660004,242.69133,127.797134,437.369995,77.477196,83.570541,112.57,131.906265,39.66,88.043762,383.470001,121.755043,111.830002,7.005664,118.310837,154.520004,89.118858,148.669998,79.809998,128.020004,96.267998,128.492569,37.119999,263.5,208.880005,156.367172,230.259995,52.989407,179.479996,67.73275,61.34153,100.261536
"2020-01-10",8966.639648,58.564831,339.809998,48.169998,109.480003,293.329987,1428.959961,1429.72998,1883.160034,233.426422,116.688858,260.799988,77.050926,60.831741,294.687836,192.360001,167.92572,144.509995,296.51001,91.099998,2086.899902,288.587585,73.029999,140.978546,72.888527,505.029999,112.620003,278.839996,45.89909,112.814522,60.000099,44.2015,95.309998,295.303314,72.599876,237.300003,74.830002,91.349998,34.503021,108.589996,44.966183,110.280266,218.059998,35.630863,117.129997,63.199333,281.640015,335.529999,76.470001,57.928295,274.187805,598.719971,39.110001,170.597504,29.454437,290.303558,20.629999,19.860001,234.839996,144.809357,60.02343,669.47998,109.624046,56.669998,160.066711,19.139999,53.323986,65.339996,67.189621,329.049988,243.989578,128.252228,436.850006,76.845139,83.102737,112.93,131.65181,38.419998,88.386505,381.410004,120.34938,112.440002,6.955978,118.736015,155.779999,88.754631,148.460007,79,126.760002,95.629997,127.191307,36.700001,267.279999,209.119995,156.546295,228.949997,52.543636,180.110001,67.061546,61.43961,98.24662
"2020-01-13",9070.650391,58.852936,345.630005,48.75,113.919998,298.070007,1440.030029,1439.22998,1891.300049,232.113632,117.171074,264.049988,78.697075,61.168213,299.931305,192.449997,169.172241,142.259995,293.899994,88.269997,2080.5,290.477966,73.389999,141.958939,72.481827,510.149994,113.440002,282.850006,46.717148,114.203133,60.514614,45.007309,96.260002,297.916199,73.9161,235.839996,74.150002,90.769997,34.344803,109.82,44.89814,110.180626,221.910004,35.885857,118.529999,62.499599,282.290009,323.149994,77.099998,58.567142,274.974762,603.119995,40.310001,172.658371,29.895773,293.213135,20.77,20,245.179993,146.21373,60.404377,691.099976,109.999908,57.450001,161.991394,20.26,53.658184,65.529999,69.295067,338.920013,251.639206,130.567139,435.5,77.092033,84.067581,115.279999,133.609024,39.349998,89.081764,378.929993,119.601677,105.470001,7.005664,123.116432,156.460007,89.660294,149.929993,79.400002,128.449997,104.972,127.142372,37.650002,275.700012,211.75,157.242844,226.490005,52.38858,181.919998,68.236153,62.155621,97.733017
"2020-01-14",9033.419922,59.657642,344.630005,48.209999,112.790001,287.609985,1430.589966,1430.880005,1869.439941,235.131149,117.633629,262.869995,77.634407,61.702606,301.025726,191.110001,168.063141,140.039993,298.970001,89.019997,2071.47998,297.229218,72.610001,142.563034,73.612648,509.619995,113.68,281.519989,46.541851,114.024597,60.722397,45.233326,96.339996,297.796997,73.886406,235.059998,72.800003,90.57,34.95792,109.580002,44.528767,110.001297,219.059998,36.111431,117.550003,62.392696,284.019989,317.109985,81.470001,58.409889,271.627716,602.690002,40.290001,175.005157,30.442648,296.635559,21.02,20.23,243.770004,146.562317,60.74625,652.070007,108.921768,57.52,160.850479,20,53.265011,65.580002,69.17215,338.690002,246.945572,131.289337,438.51001,77.230301,84.418427,114.639999,133.92218,38.02,88.680267,387.619995,118.59478,107.75,7.065287,121.959526,157.039993,89.571693,148.190002,79.800003,126.93,107.584,127.846817,38.5,282.619995,209.369995,156.108459,229.75,52.931263,179.979996,68.315117,62.253708,98.384911
"2020-01-15",9035.669922,59.25032,342.940002,48.549999,112.529999,274.100006,1439.199951,1439.199951,1862.02002,236.796646,115.645676,264.279999,77.301704,61.286968,298.568176,190.789993,169.613922,139.399994,293.089996,88.870003,2065.159912,292.368347,71.940002,143.196808,74.088783,515.400024,113.919998,284.640015,46.756104,114.37175,61.197327,45.478996,96.669998,298.860016,74.21299,234.339996,73.029999,90.75,34.938148,109.610001,45.24807,110.33007,221.149994,36.082008,118.510002,62.295517,288.48999,320.390015,80.540001,57.928295,271.946472,597.23999,39.779999,175.439041,30.317921,294.248718,21.389999,20.5,243.490005,146.711731,60.02343,659.97998,106.409409,56.169998,161.892197,20.24,53.805626,65.879997,68.531799,339.070007,245.237869,131.081589,438.149994,76.499481,85.149361,114.849998,136.221909,38.669998,87.808746,390.75,117.408432,106.650002,7.124909,119.072212,156.020004,90.113129,147.910004,80.269997,126.610001,103.699997,126.379219,37.560001,276.200012,211.740005,157.869751,234.149994,52.747139,179.179993,65.807961,63.234539,97.614494
